,income,age,disability,employment
333,13,76,0,0
334,13,76,0,0
335,12,62,0,0
336,12,60,0,0
337,13,80,0,0
338,12,85,0,0
339,9,85,0,0
340,12,80,0,0
341,12,80,0,0
342,16,72,0,0
343,16,62,0,0
344,13,80,0,0
345,13,78,0,0
346,7,85,0,0
347,13,60,0,0
348,7,55,0,0
349,8,68,0,0
350,8,66,0,0
351,11,66,0,1
352,4,76,0,0
353,12,80,0,0
354,10,66,0,0
355,10,66,0,0
356,7,76,0,0
357,7,79,0,0
358,14,71,0,0
359,9,85,0,0
360,9,85,0,0
361,13,64,0,0
362,11,63,1,0
363,11,76,0,0
364,11,77,0,0
365,5,69,0,0
366,14,77,0,0
367,14,79,0,0
368,15,69,0,0
369,13,70,0,1
370,14,77,0,0
371,13,64,0,0
372,13,67,0,0
373,8,74,0,0
374,10,85,0,0
375,10,85,0,0
376,14,78,0,0
377,13,69,0,0
378,13,69,0,0
379,12,69,0,0
380,3,56,0,0
381,15,67,0,0
382,4,56,0,0
383,3,69,0,0
384,6,63,0,0
385,6,66,0,0
386,6,69,0,0
387,12,68,0,0
388,6,85,0,0
389,12,58,0,0
390,14,67,0,0
391,9,78,0,0
392,9,71,0,0
393,9,75,0,0
394,4,66,0,0
395,4,69,0,0
396,8,79,0,0
397,13,62,0,0
398,13,58,0,0
399,9,85,0,0
400,9,64,0,0
401,4,85,0,0
402,14,70,0,0
403,11,77,0,0
404,11,74,0,0
405,7,75,0,0
406,8,85,0,0
407,11,73,0,0
408,11,71,0,0
409,5,64,0,0
410,14,70,0,0
411,14,63,0,1
412,7,79,0,0
413,14,69,0,0
414,8,85,0,0
415,14,66,0,0
416,14,67,0,0
417,11,65,0,0
418,11,67,0,0
419,11,69,0,0
420,12,73,1,0
421,12,69,1,1
422,12,64,0,0
424,11,60,0,0
425,11,63,0,0
426,6,79,0,0
427,6,79,1,0
428,12,66,0,0
429,12,68,0,0
430,10,79,0,0
431,8,85,0,0
432,8,67,0,0
433,8,65,0,0
434,12,74,0,0
435,12,65,0,0
436,4,78,0,0
437,7,57,0,0
438,16,69,0,0
439,11,64,0,0
440,14,50,0,0
441,13,57,0,0
442,11,73,0,0
443,11,73,0,0
444,15,72,0,0
445,15,69,0,0
446,11,85,0,0
447,11,79,0,0
448,11,65,0,0
449,4,61,1,0
450,6,85,0,0
451,4,80,0,0
452,8,79,0,0
453,8,75,0,0
454,8,67,0,0
455,9,73,0,0
456,11,61,0,0
457,12,51,0,1
458,9,68,0,0
459,9,85,0,0
460,6,80,0,0
461,10,62,0,0
462,14,68,0,0
463,14,65,0,0
464,8,78,1,0
465,13,62,0,1
466,13,72,0,0
467,15,63,0,0
468,16,79,0,0
469,8,85,0,0
470,8,85,0,0
471,6,79,0,0
472,14,85,0,0
473,11,68,0,1
474,11,64,0,0
475,9,71,0,0
476,9,65,0,0
477,12,68,0,0
478,6,63,0,0
479,6,66,0,0
480,8,80,0,0
481,8,74,0,0
482,7,80,0,0
483,6,66,0,0
484,8,60,0,0
485,8,85,0,0
486,13,80,0,0
487,12,70,0,0
488,12,68,0,0
489,3,80,0,0
490,6,62,0,0
491,10,63,0,0
492,5,70,0,0
493,5,74,0,0
494,6,85,0,0
495,14,60,0,0
496,6,85,0,0
497,6,80,0,0
498,14,69,0,0
499,7,74,0,0
500,11,65,0,0
501,15,74,0,1
502,15,85,0,0
503,8,85,0,0
504,8,80,0,0
506,16,54,0,1
507,14,78,0,0
508,10,65,0,0
509,8,78,0,0
510,6,72,0,0
511,14,73,0,0
512,12,72,0,0
513,12,85,0,0
514,11,80,0,0
515,7,80,0,0
516,12,61,0,0
517,12,61,0,0
518,6,80,0,0
519,7,80,0,0
520,13,85,0,0
522,12,73,0,0
523,12,75,0,0
524,4,66,0,0
525,13,80,0,0
526,13,80,0,0
527,8,66,0,0
528,8,71,0,0
529,11,65,1,1
530,11,66,0,0
531,15,74,0,0
532,7,73,0,0
533,2,69,0,0
534,8,80,0,0
535,13,66,0,0
536,15,58,0,0
537,7,85,0,0
538,7,85,0,0
539,12,76,0,0
540,12,85,0,0
541,4,85,0,0
542,15,60,0,1
543,6,80,0,0
544,13,68,0,0
545,9,70,0,0
546,4,85,0,0
547,12,74,0,0
548,12,70,0,0
549,14,80,0,0
550,8,85,0,0
551,7,69,0,0
552,8,72,0,0
553,13,71,0,0
554,13,77,0,0
555,13,75,0,0
556,6,64,0,0
557,11,64,0,0
558,8,71,0,0
559,12,69,0,0
560,11,69,0,0
561,16,60,0,0
562,11,64,0,0
563,12,65,0,0
564,12,73,0,0
565,12,70,0,0
566,12,70,0,0
567,5,72,0,0
568,5,67,0,0
569,6,78,0,0
570,4,74,0,0
571,1,85,0,0
573,11,62,0,0
574,7,80,0,0
575,7,80,0,0
576,4,74,0,0
577,6,56,0,0
578,14,76,0,0
579,1,73,0,0
582,10,80,0,0
583,11,78,0,0
584,11,80,0,0
585,13,64,0,1
586,6,63,0,0
587,3,69,0,0
588,13,77,0,0
594,9,57,0,0
595,7,65,0,0
596,9,67,0,0
597,16,56,0,0
598,6,73,0,1
599,11,69,0,0
601,12,85,0,0
602,12,85,0,0
603,16,69,0,0
604,16,64,0,0
605,9,77,0,0
606,11,65,0,0
607,14,62,0,0
608,10,77,0,0
609,10,80,0,0
610,7,80,0,0
611,7,79,0,0
612,9,66,0,0
613,11,72,0,0
615,6,80,0,0
616,9,69,0,0
617,11,45,0,0
618,11,47,0,0
619,12,72,0,0
620,12,72,0,0
621,7,69,0,0
622,6,52,0,0
623,6,62,0,0
624,6,71,0,0
625,6,65,0,0
626,14,69,0,0
627,12,68,0,0
628,13,65,0,0
629,13,68,0,0
630,4,76,0,0
631,3,58,0,0
632,3,69,0,0
633,5,51,0,0
634,10,69,0,0
635,4,80,0,0
